Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,888000.0,1073,828,0,1 Bed,False,False,2,,True,Danube,Unit-207,nan
2023-04-18,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,985724.0,1104,893,0,1 Bed,False,False,,,False,,,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,918000.0,1056,870,0,1 Bed,False,False,4,,True,,Unit-402,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,914000.0,1107,826,0,1 Bed,False,False,7,,True,Danube,Unit-715,nan
2023-04-18,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,827919.0,1249,663,0,1 Bed,False,False,,,False,,,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1645000.0,1047,1571,0,3 Bed,False,False,4,,True,,Unit-418,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1261000.0,1000,1262,0,2 Bed,False,False,5,,True,,Unit-512,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1900000.0,1193,1592,0,3 Bed,False,False,7,,True,Danube,Unit-709,nan
2023-04-17,Secondary Transaction,"Glamz by Danube, Glamz, Al Furjan",Apartment,675000.0,880,767,0,1 Bed,False,False,14,,True,Danube Properties,Unit-1408,nan
2023-04-17,Secondary Transaction,"Iris, Azizi Residence, Al Furjan",Apartment,1140000.0,788,1447,0,2 Bed,False,False,6,,True,Azizi Developments,Unit-604,nan
2023-04-17,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1475760.0,1127,1309,0,2 Bed,False,False,7,,True,Danube,Unit-713,nan
2023-04-14,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1615465.0,1186,1362,0,2 Bed,False,False,,,False,,,nan
2023-04-14,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,457600.0,1160,394,0,Studio,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-425",nan
2023-04-14,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,402230.0,1037,388,0,Studio,False,False,11,,True,Azizi Developments,"Hotel Apartment, Unit-1103",nan
2023-04-14,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,876546.0,950,923,0,1 Bed,False,False,2,,True,,Unit-206,nan
2023-04-14,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,947000.0,1053,899,0,1 Bed,False,False,5,,True,Danube,Unit-519,nan
